sale_id,transaction_id,product_id,quantity,unit_price,unit_cost,discount_percent,reorder_level,region,customer_type,customer_name,payment_method,note,location_id
SAL000001,STRX000001,PRD0001,32,450,324,0,72,,,,,Online grocery dataset sales row; status=Discontinued; turnover=19,LOC001
SAL000056,STRX000056,PRD0056,57,250,180,0,18,,,,,Online grocery dataset sales row; status=Discontinued; turnover=86,LOC001
SAL000057,STRX000057,PRD0057,32,450,324,0,78,,,,,Online grocery dataset sales row; status=Active; turnover=3,LOC002
SAL000058,STRX000058,PRD0058,63,290,208,0,37,,,,,Online grocery dataset sales row; status=Discontinued; turnover=35,LOC003
SAL000059,STRX000059,PRD0059,30,600,432,0,59,,,,,Online grocery dataset sales row; status=Active; turnover=63,LOC004
SAL000060,STRX000060,PRD0060,38,600,432,0,17,,,,,Online grocery dataset sales row; status=Active; turnover=25,LOC005
SAL000061,STRX000061,PRD0061,44,150,108,0,60,,,,,Online grocery dataset sales row; status=Discontinued; turnover=95,LOC001
SAL000062,STRX000062,PRD0062,64,500,360,0,27,,,,,Online grocery dataset sales row; status=Active; turnover=96,LOC002
SAL000063,STRX000063,PRD0063,30,445,320,0,65,,,,,Online grocery dataset sales row; status=Backordered; turnover=78,LOC003
SAL000064,STRX000064,PRD0064,84,600,432,0,92,,,,,Online grocery dataset sales row; status=Active; turnover=9,LOC004
SAL000065,STRX000065,PRD0065,54,600,432,0,53,,,,,Online grocery dataset sales row; status=Discontinued; turnover=59,LOC005
SAL000066,STRX000066,PRD0066,67,1500,1080,0,43,,,,,Online grocery dataset sales row; status=Discontinued; turnover=6,LOC001
SAL000067,STRX000067,PRD0067,93,2500,1800,0,87,,,,,Online grocery dataset sales row; status=Active; turnover=70,LOC002
SAL000068,STRX000068,PRD0068,44,180,129,0,60,,,,,Online grocery dataset sales row; status=Backordered; turnover=32,LOC003
SAL000069,STRX000069,PRD0069,83,700,504,0,63,,,,,Online grocery dataset sales row; status=Discontinued; turnover=5,LOC004
SAL000070,STRX000070,PRD0070,47,400,288,0,87,,,,,Online grocery dataset sales row; status=Discontinued; turnover=67,LOC005
SAL000071,STRX000071,PRD0071,51,300,216,0,21,,,,,Online grocery dataset sales row; status=Backordered; turnover=98,LOC001
SAL000072,STRX000072,PRD0072,85,1200,864,0,72,,,,,Online grocery dataset sales row; status=Active; turnover=52,LOC002
SAL000073,STRX000073,PRD0073,20,400,288,0,60,,,,,Online grocery dataset sales row; status=Discontinued; turnover=35,LOC003
SAL000074,STRX000074,PRD0074,74,445,320,0,33,,,,,Online grocery dataset sales row; status=Active; turnover=100,LOC004
SAL000075,STRX000075,PRD0075,76,200,144,0,92,,,,,Online grocery dataset sales row; status=Active; turnover=32,LOC005
SAL000076,STRX000076,PRD0076,60,600,432,0,34,,,,,Online grocery dataset sales row; status=Discontinued; turnover=2,LOC001
SAL000077,STRX000077,PRD0077,26,450,324,0,36,,,,,Online grocery dataset sales row; status=Active; turnover=29,LOC002
SAL000078,STRX000078,PRD0078,50,450,324,0,34,,,,,Online grocery dataset sales row; status=Discontinued; turnover=83,LOC003
SAL000079,STRX000079,PRD0079,30,120,86,0,40,,,,,Online grocery dataset sales row; status=Active; turnover=56,LOC004
SAL000080,STRX000080,PRD0080,86,250,180,0,55,,,,,Online grocery dataset sales row; status=Backordered; turnover=61,LOC005
SAL000081,STRX000081,PRD0081,67,600,432,0,93,,,,,Online grocery dataset sales row; status=Active; turnover=100,LOC001
SAL000082,STRX000082,PRD0082,50,300,216,0,1,,,,,Online grocery dataset sales row; status=Backordered; turnover=53,LOC002
SAL000083,STRX000083,PRD0083,72,250,180,0,52,,,,,Online grocery dataset sales row; status=Discontinued; turnover=96,LOC003
SAL000084,STRX000084,PRD0084,59,240,172,0,29,,,,,Online grocery dataset sales row; status=Discontinued; turnover=4,LOC004
SAL000085,STRX000085,PRD0085,90,600,432,0,67,,,,,Online grocery dataset sales row; status=Active; turnover=11,LOC005
SAL000086,STRX000086,PRD0086,29,200,144,0,7,,,,,Online grocery dataset sales row; status=Backordered; turnover=20,LOC001
SAL000087,STRX000087,PRD0087,38,150,108,0,63,,,,,Online grocery dataset sales row; status=Discontinued; turnover=73,LOC002
SAL000088,STRX000088,PRD0088,64,180,129,0,33,,,,,Online grocery dataset sales row; status=Discontinued; turnover=38,LOC003
SAL000089,STRX000089,PRD0089,59,800,576,0,4,,,,,Online grocery dataset sales row; status=Active; turnover=52,LOC004
SAL000090,STRX000090,PRD0090,51,400,288,0,21,,,,,Online grocery dataset sales row; status=Backordered; turnover=26,LOC005
SAL000091,STRX000091,PRD0091,24,1000,720,0,40,,,,,Online grocery dataset sales row; status=Active; turnover=61,LOC001
SAL000092,STRX000092,PRD0092,69,500,360,0,81,,,,,Online grocery dataset sales row; status=Active; turnover=38,LOC002
SAL000093,STRX000093,PRD0093,56,900,648,0,63,,,,,Online grocery dataset sales row; status=Active; turnover=95,LOC003
SAL000094,STRX000094,PRD0094,33,180,129,0,63,,,,,Online grocery dataset sales row; status=Discontinued; turnover=96,LOC004
SAL000095,STRX000095,PRD0095,82,300,216,0,30,,,,,Online grocery dataset sales row; status=Active; turnover=12,LOC005
SAL000096,STRX000096,PRD0096,91,700,504,0,22,,,,,Online grocery dataset sales row; status=Discontinued; turnover=77,LOC001
SAL000097,STRX000097,PRD0097,51,475,342,0,73,,,,,Online grocery dataset sales row; status=Discontinued; turnover=49,LOC002
SAL000098,STRX000098,PRD0098,95,200,144,0,81,,,,,Online grocery dataset sales row; status=Backordered; turnover=88,LOC003
SAL000099,STRX000099,PRD0099,66,250,180,0,66,,,,,Online grocery dataset sales row; status=Discontinued; turnover=65,LOC004
SAL000100,STRX000100,PRD0100,67,320,230,0,86,,,,,Online grocery dataset sales row; status=Backordered; turnover=56,LOC005
SAL000101,STRX000101,PRD0101,43,600,432,0,40,,,,,Online grocery dataset sales row; status=Active; turnover=49,LOC001
SAL000102,STRX000102,PRD0102,92,150,108,0,92,,,,,Online grocery dataset sales row; status=Active; turnover=69,LOC002
SAL000103,STRX000103,PRD0103,68,500,360,0,5,,,,,Online grocery dataset sales row; status=Active; turnover=99,LOC003
SAL000104,STRX000104,PRD0104,60,400,288,0,36,,,,,Online grocery dataset sales row; status=Backordered; turnover=96,LOC004
SAL000105,STRX000105,PRD0105,24,950,684,0,88,,,,,Online grocery dataset sales row; status=Backordered; turnover=21,LOC005
SAL000106,STRX000106,PRD0106,56,250,180,0,81,,,,,Online grocery dataset sales row; status=Active; turnover=2,LOC001
SAL000107,STRX000107,PRD0107,61,700,504,0,63,,,,,Online grocery dataset sales row; status=Backordered; turnover=38,LOC002
SAL000108,STRX000108,PRD0108,53,200,144,0,5,,,,,Online grocery dataset sales row; status=Active; turnover=80,LOC003
SAL000109,STRX000109,PRD0109,56,400,288,0,36,,,,,Online grocery dataset sales row; status=Backordered; turnover=32,LOC004
SAL000110,STRX000110,PRD0110,98,600,432,0,18,,,,,Online grocery dataset sales row; status=Discontinued; turnover=56,LOC005
SAL000111,STRX000111,PRD0111,23,2000,1440,0,89,,,,,Online grocery dataset sales row; status=Discontinued; turnover=11,LOC001
SAL000112,STRX000112,PRD0112,38,500,360,0,57,,,,,Online grocery dataset sales row; status=Active; turnover=16,LOC002
SAL000113,STRX000113,PRD0113,63,800,576,0,42,,,,,Online grocery dataset sales row; status=Backordered; turnover=5,LOC003
SAL000114,STRX000114,PRD0114,35,9843,7086,0,12,,,,,Online grocery dataset sales row; status=Active; turnover=16,LOC004
SAL000115,STRX000115,PRD0115,80,610,439,0,100,,,,,Online grocery dataset sales row; status=Active; turnover=94,LOC005
SAL000116,STRX000116,PRD0116,96,600,432,0,61,,,,,Online grocery dataset sales row; status=Active; turnover=50,LOC001
SAL000117,STRX000117,PRD0117,44,350,252,0,30,,,,,Online grocery dataset sales row; status=Discontinued; turnover=42,LOC002
SAL000118,STRX000118,PRD0118,93,400,288,0,72,,,,,Online grocery dataset sales row; status=Backordered; turnover=27,LOC003
SAL000119,STRX000119,PRD0119,60,450,324,0,93,,,,,Online grocery dataset sales row; status=Active; turnover=19,LOC004
SAL000120,STRX000120,PRD0120,61,385,277,0,42,,,,,Online grocery dataset sales row; status=Discontinued; turnover=25,LOC005
SAL000121,STRX000121,PRD0121,58,430,309,0,17,,,,,Online grocery dataset sales row; status=Active; turnover=23,LOC001
SAL000122,STRX000122,PRD0122,83,2100,1512,0,72,,,,,Online grocery dataset sales row; status=Active; turnover=54,LOC002
SAL000123,STRX000123,PRD0123,24,450,324,0,50,,,,,Online grocery dataset sales row; status=Active; turnover=92,LOC003
SAL000124,STRX000124,PRD0124,28,400,288,0,42,,,,,Online grocery dataset sales row; status=Discontinued; turnover=23,LOC004
SAL000125,STRX000125,PRD0125,31,450,324,0,20,,,,,Online grocery dataset sales row; status=Active; turnover=31,LOC005
SAL000126,STRX000126,PRD0126,28,420,302,0,99,,,,,Online grocery dataset sales row; status=Discontinued; turnover=45,LOC001
SAL000127,STRX000127,PRD0127,62,180,129,0,20,,,,,Online grocery dataset sales row; status=Backordered; turnover=69,LOC002
SAL000128,STRX000128,PRD0128,21,320,230,0,38,,,,,Online grocery dataset sales row; status=Backordered; turnover=45,LOC003
SAL000129,STRX000129,PRD0129,43,230,165,0,82,,,,,Online grocery dataset sales row; status=Discontinued; turnover=45,LOC004
SAL000130,STRX000130,PRD0130,94,1000,720,0,96,,,,,Online grocery dataset sales row; status=Backordered; turnover=89,LOC005
SAL000131,STRX000131,PRD0131,49,150,108,0,46,,,,,Online grocery dataset sales row; status=Backordered; turnover=25,LOC001
SAL000132,STRX000132,PRD0132,20,700,504,0,21,,,,,Online grocery dataset sales row; status=Backordered; turnover=13,LOC002
SAL000133,STRX000133,PRD0133,26,600,432,0,98,,,,,Online grocery dataset sales row; status=Backordered; turnover=21,LOC003
SAL000134,STRX000134,PRD0134,50,300,216,0,2,,,,,Online grocery dataset sales row; status=Discontinued; turnover=11,LOC004
SAL000135,STRX000135,PRD0135,36,1800,1296,0,44,,,,,Online grocery dataset sales row; status=Active; turnover=16,LOC005
SAL000136,STRX000136,PRD0136,48,250,180,0,2,,,,,Online grocery dataset sales row; status=Discontinued; turnover=36,LOC001
SAL000137,STRX000137,PRD0137,56,300,216,0,44,,,,,Online grocery dataset sales row; status=Discontinued; turnover=12,LOC002
SAL000138,STRX000138,PRD0138,59,600,432,0,65,,,,,Online grocery dataset sales row; status=Discontinued; turnover=53,LOC003
SAL000139,STRX000139,PRD0139,25,1800,1296,0,77,,,,,Online grocery dataset sales row; status=Discontinued; turnover=17,LOC004
SAL000140,STRX000140,PRD0140,84,400,288,0,30,,,,,Online grocery dataset sales row; status=Active; turnover=4,LOC005
SAL000141,STRX000141,PRD0141,36,200,144,0,44,,,,,Online grocery dataset sales row; status=Discontinued; turnover=2,LOC001
SAL000142,STRX000142,PRD0142,76,150,108,0,82,,,,,Online grocery dataset sales row; status=Active; turnover=88,LOC002
SAL000143,STRX000143,PRD0143,23,450,324,0,31,,,,,Online grocery dataset sales row; status=Discontinued; turnover=80,LOC003
SAL000144,STRX000144,PRD0144,69,450,324,0,3,,,,,Online grocery dataset sales row; status=Discontinued; turnover=73,LOC004
SAL000145,STRX000145,PRD0145,81,350,252,0,91,,,,,Online grocery dataset sales row; status=Active; turnover=19,LOC005
SAL000146,STRX000146,PRD0146,41,800,576,0,87,,,,,Online grocery dataset sales row; status=Active; turnover=10,LOC001
SAL000147,STRX000147,PRD0147,93,800,576,0,92,,,,,Online grocery dataset sales row; status=Active; turnover=99,LOC002
SAL000148,STRX000148,PRD0148,22,600,432,0,31,,,,,Online grocery dataset sales row; status=Discontinued; turnover=47,LOC003
SAL000149,STRX000149,PRD0149,75,400,288,0,86,,,,,Online grocery dataset sales row; status=Discontinued; turnover=86,LOC004
SAL000150,STRX000150,PRD0150,44,300,216,0,86,,,,,Online grocery dataset sales row; status=Discontinued; turnover=3,LOC005
SAL000151,STRX000151,PRD0151,69,250,180,0,7,,,,,Online grocery dataset sales row; status=Discontinued; turnover=1,LOC001
SAL000152,STRX000152,PRD0152,54,810,583,0,9,,,,,Online grocery dataset sales row; status=Active; turnover=62,LOC002
SAL000153,STRX000153,PRD0153,40,1800,1296,0,68,,,,,Online grocery dataset sales row; status=Discontinued; turnover=57,LOC003
SAL000154,STRX000154,PRD0154,91,180,129,0,98,,,,,Online grocery dataset sales row; status=Active; turnover=29,LOC004
SAL000155,STRX000155,PRD0155,46,300,216,0,44,,,,,Online grocery dataset sales row; status=Discontinued; turnover=9,LOC005
SAL000156,STRX000156,PRD0156,52,700,504,0,97,,,,,Online grocery dataset sales row; status=Discontinued; turnover=82,LOC001
SAL000157,STRX000157,PRD0157,89,200,144,0,99,,,,,Online grocery dataset sales row; status=Backordered; turnover=21,LOC002
SAL000158,STRX000158,PRD0158,43,400,288,0,99,,,,,Online grocery dataset sales row; status=Discontinued; turnover=90,LOC003
SAL000159,STRX000159,PRD0159,79,900,648,0,74,,,,,Online grocery dataset sales row; status=Active; turnover=5,LOC004
SAL000160,STRX000160,PRD0160,41,500,360,0,8,,,,,Online grocery dataset sales row; status=Discontinued; turnover=50,LOC005
SAL000161,STRX000161,PRD0161,51,250,180,0,84,,,,,Online grocery dataset sales row; status=Discontinued; turnover=67,LOC001
SAL000162,STRX000162,PRD0162,70,3100,2232,0,77,,,,,Online grocery dataset sales row; status=Backordered; turnover=74,LOC002
SAL000163,STRX000163,PRD0163,29,650,468,0,92,,,,,Online grocery dataset sales row; status=Discontinued; turnover=32,LOC003
SAL000164,STRX000164,PRD0164,90,615,442,0,96,,,,,Online grocery dataset sales row; status=Discontinued; turnover=34,LOC004
SAL000165,STRX000165,PRD0165,88,300,216,0,94,,,,,Online grocery dataset sales row; status=Discontinued; turnover=92,LOC005
SAL000166,STRX000166,PRD0166,52,500,360,0,12,,,,,Online grocery dataset sales row; status=Active; turnover=46,LOC001
SAL000167,STRX000167,PRD0167,98,500,360,0,40,,,,,Online grocery dataset sales row; status=Active; turnover=60,LOC002
SAL000168,STRX000168,PRD0168,71,180,129,0,2,,,,,Online grocery dataset sales row; status=Active; turnover=10,LOC003
SAL000169,STRX000169,PRD0169,42,800,576,0,99,,,,,Online grocery dataset sales row; status=Backordered; turnover=1,LOC004
SAL000170,STRX000170,PRD0170,46,480,345,0,92,,,,,Online grocery dataset sales row; status=Backordered; turnover=11,LOC005
SAL000171,STRX000171,PRD0171,69,250,180,0,54,,,,,Online grocery dataset sales row; status=Backordered; turnover=27,LOC001
SAL000172,STRX000172,PRD0172,30,275,198,0,60,,,,,Online grocery dataset sales row; status=Active; turnover=6,LOC002
SAL000173,STRX000173,PRD0173,62,1000,720,0,78,,,,,Online grocery dataset sales row; status=Discontinued; turnover=97,LOC003
SAL000174,STRX000174,PRD0174,90,300,216,0,10,,,,,Online grocery dataset sales row; status=Active; turnover=42,LOC004
SAL000175,STRX000175,PRD0175,33,1250,900,0,47,,,,,Online grocery dataset sales row; status=Discontinued; turnover=12,LOC005
SAL000176,STRX000176,PRD0176,64,250,180,0,32,,,,,Online grocery dataset sales row; status=Discontinued; turnover=85,LOC001
SAL000177,STRX000177,PRD0177,77,500,360,0,55,,,,,Online grocery dataset sales row; status=Active; turnover=85,LOC002
SAL000178,STRX000178,PRD0178,60,800,576,0,66,,,,,Online grocery dataset sales row; status=Backordered; turnover=40,LOC003
SAL000179,STRX000179,PRD0179,98,1000,720,0,56,,,,,Online grocery dataset sales row; status=Discontinued; turnover=86,LOC004
SAL000180,STRX000180,PRD0180,40,900,648,0,81,,,,,Online grocery dataset sales row; status=Backordered; turnover=48,LOC005
SAL000181,STRX000181,PRD0181,24,1000,720,0,86,,,,,Online grocery dataset sales row; status=Backordered; turnover=52,LOC001
SAL000182,STRX000182,PRD0182,20,2100,1512,0,87,,,,,Online grocery dataset sales row; status=Discontinued; turnover=38,LOC002
SAL000183,STRX000183,PRD0183,89,1200,864,0,25,,,,,Online grocery dataset sales row; status=Active; turnover=42,LOC003
SAL000184,STRX000184,PRD0184,99,800,576,0,50,,,,,Online grocery dataset sales row; status=Discontinued; turnover=5,LOC004
SAL000185,STRX000185,PRD0185,98,300,216,0,65,,,,,Online grocery dataset sales row; status=Backordered; turnover=50,LOC005
SAL000186,STRX000186,PRD0186,69,450,324,0,53,,,,,Online grocery dataset sales row; status=Active; turnover=69,LOC001
SAL000187,STRX000187,PRD0187,20,200,144,0,69,,,,,Online grocery dataset sales row; status=Backordered; turnover=20,LOC002
SAL000188,STRX000188,PRD0188,32,450,324,0,85,,,,,Online grocery dataset sales row; status=Discontinued; turnover=83,LOC003
SAL000189,STRX000189,PRD0189,35,2500,1800,0,90,,,,,Online grocery dataset sales row; status=Backordered; turnover=68,LOC004
SAL000190,STRX000190,PRD0190,76,250,180,0,76,,,,,Online grocery dataset sales row; status=Backordered; turnover=51,LOC005
SAL000191,STRX000191,PRD0191,72,700,504,0,38,,,,,Online grocery dataset sales row; status=Active; turnover=84,LOC001
SAL000192,STRX000192,PRD0192,94,400,288,0,88,,,,,Online grocery dataset sales row; status=Active; turnover=15,LOC002
SAL000193,STRX000193,PRD0193,43,700,504,0,77,,,,,Online grocery dataset sales row; status=Backordered; turnover=40,LOC003
SAL000194,STRX000194,PRD0194,88,500,360,0,6,,,,,Online grocery dataset sales row; status=Discontinued; turnover=24,LOC004
SAL000195,STRX000195,PRD0195,86,600,432,0,66,,,,,Online grocery dataset sales row; status=Backordered; turnover=15,LOC005
SAL000196,STRX000196,PRD0196,25,250,180,0,100,,,,,Online grocery dataset sales row; status=Discontinued; turnover=28,LOC001
SAL000197,STRX000197,PRD0197,35,475,342,0,15,,,,,Online grocery dataset sales row; status=Discontinued; turnover=4,LOC002
SAL000198,STRX000198,PRD0198,78,900,648,0,62,,,,,Online grocery dataset sales row; status=Active; turnover=87,LOC003
SAL000199,STRX000199,PRD0199,37,600,432,0,68,,,,,Online grocery dataset sales row; status=Discontinued; turnover=31,LOC004
SAL000200,STRX000200,PRD0200,31,280,201,0,94,,,,,Online grocery dataset sales row; status=Backordered; turnover=1,LOC005
SAL000201,STRX000201,PRD0201,43,200,144,0,30,,,,,Online grocery dataset sales row; status=Backordered; turnover=54,LOC001
SAL000202,STRX000202,PRD0202,32,600,432,0,96,,,,,Online grocery dataset sales row; status=Discontinued; turnover=22,LOC002
SAL000203,STRX000203,PRD0203,39,1000,720,0,12,,,,,Online grocery dataset sales row; status=Backordered; turnover=6,LOC003
SAL000204,STRX000204,PRD0204,68,350,252,0,43,,,,,Online grocery dataset sales row; status=Backordered; turnover=59,LOC004
SAL000205,STRX000205,PRD0205,49,175,126,0,20,,,,,Online grocery dataset sales row; status=Backordered; turnover=19,LOC005
SAL000206,STRX000206,PRD0206,100,600,432,0,88,,,,,Online grocery dataset sales row; status=Discontinued; turnover=46,LOC001
SAL000207,STRX000207,PRD0207,52,600,432,0,62,,,,,Online grocery dataset sales row; status=Active; turnover=21,LOC002
SAL000208,STRX000208,PRD0208,59,250,180,0,63,,,,,Online grocery dataset sales row; status=Backordered; turnover=63,LOC003
SAL000209,STRX000209,PRD0209,92,5117,3684,0,44,,,,,Online grocery dataset sales row; status=Discontinued; turnover=37,LOC004
SAL000210,STRX000210,PRD0210,70,400,288,0,53,,,,,Online grocery dataset sales row; status=Backordered; turnover=20,LOC005
SAL000211,STRX000211,PRD0211,29,2550,1836,0,100,,,,,Online grocery dataset sales row; status=Active; turnover=31,LOC001
SAL000212,STRX000212,PRD0212,42,425,306,0,20,,,,,Online grocery dataset sales row; status=Backordered; turnover=19,LOC002
SAL000213,STRX000213,PRD0213,46,590,424,0,89,,,,,Online grocery dataset sales row; status=Discontinued; turnover=54,LOC003
SAL000214,STRX000214,PRD0214,88,650,468,0,19,,,,,Online grocery dataset sales row; status=Backordered; turnover=6,LOC004
SAL000215,STRX000215,PRD0215,69,400,288,0,54,,,,,Online grocery dataset sales row; status=Active; turnover=77,LOC005
SAL000216,STRX000216,PRD0216,56,250,180,0,62,,,,,Online grocery dataset sales row; status=Backordered; turnover=73,LOC001
SAL000217,STRX000217,PRD0217,70,300,216,0,62,,,,,Online grocery dataset sales row; status=Discontinued; turnover=83,LOC002
SAL000218,STRX000218,PRD0218,92,230,165,0,31,,,,,Online grocery dataset sales row; status=Discontinued; turnover=13,LOC003
SAL000219,STRX000219,PRD0219,81,200,144,0,83,,,,,Online grocery dataset sales row; status=Backordered; turnover=53,LOC004
SAL000220,STRX000220,PRD0220,47,230,165,0,51,,,,,Online grocery dataset sales row; status=Discontinued; turnover=25,LOC005
SAL000221,STRX000221,PRD0221,37,1000,720,0,4,,,,,Online grocery dataset sales row; status=Active; turnover=53,LOC001
SAL000222,STRX000222,PRD0222,56,720,518,0,56,,,,,Online grocery dataset sales row; status=Discontinued; turnover=28,LOC002
