purchase_id,product_id,quantity,unit_cost,supplier_id,transaction_id,note,location_id
PUR00021,PRD0021,99,180,SUP021,PTRX00021,Online grocery dataset purchase row; last_order_date=5/28/2024,LOC001
PUR00022,PRD0022,48,864,SUP022,PTRX00022,Online grocery dataset purchase row; last_order_date=10-01-24,LOC002
PUR00023,PRD0023,28,144,SUP023,PTRX00023,Online grocery dataset purchase row; last_order_date=2/14/2025,LOC003
PUR00024,PRD0024,55,72,SUP024,PTRX00024,Online grocery dataset purchase row; last_order_date=03-06-24,LOC004
PUR00025,PRD0025,85,864,SUP025,PTRX00025,Online grocery dataset purchase row; last_order_date=1/13/2025,LOC005
PUR00026,PRD0026,80,108,SUP026,PTRX00026,Online grocery dataset purchase row; last_order_date=2/22/2025,LOC001
PUR00027,PRD0027,81,57,SUP027,PTRX00027,Online grocery dataset purchase row; last_order_date=07-07-24,LOC002
PUR00028,PRD0028,39,432,SUP028,PTRX00028,Online grocery dataset purchase row; last_order_date=2/24/2025,LOC003
PUR00029,PRD0029,32,360,SUP029,PTRX00029,Online grocery dataset purchase row; last_order_date=8/21/2024,LOC004
PUR00030,PRD0030,5,324,SUP030,PTRX00030,Online grocery dataset purchase row; last_order_date=11/19/2024,LOC005
PUR00031,PRD0031,72,126,SUP031,PTRX00031,Online grocery dataset purchase row; last_order_date=3/28/2024,LOC001
PUR00032,PRD0032,22,252,SUP032,PTRX00032,Online grocery dataset purchase row; last_order_date=10/13/2024,LOC002
PUR00033,PRD0033,73,432,SUP033,PTRX00033,Online grocery dataset purchase row; last_order_date=6/28/2024,LOC003
PUR00034,PRD0034,75,2160,SUP034,PTRX00034,Online grocery dataset purchase row; last_order_date=8/19/2024,LOC004
PUR00035,PRD0035,73,648,SUP035,PTRX00035,Online grocery dataset purchase row; last_order_date=10/28/2024,LOC005
PUR00036,PRD0036,73,144,SUP036,PTRX00036,Online grocery dataset purchase row; last_order_date=7/23/2024,LOC001
PUR00037,PRD0037,100,324,SUP037,PTRX00037,Online grocery dataset purchase row; last_order_date=1/19/2025,LOC002
PUR00038,PRD0038,39,248,SUP038,PTRX00038,Online grocery dataset purchase row; last_order_date=1/25/2025,LOC003
PUR00039,PRD0039,26,180,SUP039,PTRX00039,Online grocery dataset purchase row; last_order_date=09-07-24,LOC004
PUR00040,PRD0040,85,216,SUP040,PTRX00040,Online grocery dataset purchase row; last_order_date=3/20/2024,LOC005
PUR00041,PRD0041,51,360,SUP041,PTRX00041,Online grocery dataset purchase row; last_order_date=2/24/2025,LOC001
PUR00042,PRD0042,48,165,SUP042,PTRX00042,Online grocery dataset purchase row; last_order_date=12/25/2024,LOC002
PUR00043,PRD0043,88,1080,SUP043,PTRX00043,Online grocery dataset purchase row; last_order_date=12-04-24,LOC003
PUR00044,PRD0044,70,216,SUP044,PTRX00044,Online grocery dataset purchase row; last_order_date=10/21/2024,LOC004
PUR00045,PRD0045,37,252,SUP045,PTRX00045,Online grocery dataset purchase row; last_order_date=06-12-24,LOC005
PUR00046,PRD0046,32,108,SUP046,PTRX00046,Online grocery dataset purchase row; last_order_date=05-01-24,LOC001
PUR00047,PRD0047,71,108,SUP047,PTRX00047,Online grocery dataset purchase row; last_order_date=11/22/2024,LOC002
PUR00048,PRD0048,61,432,SUP048,PTRX00048,Online grocery dataset purchase row; last_order_date=02-07-25,LOC003
PUR00049,PRD0049,13,360,SUP049,PTRX00049,Online grocery dataset purchase row; last_order_date=10/18/2024,LOC004
PUR00050,PRD0050,90,288,SUP050,PTRX00050,Online grocery dataset purchase row; last_order_date=11/28/2024,LOC005
PUR00051,PRD0051,78,324,SUP051,PTRX00051,Online grocery dataset purchase row; last_order_date=10-04-24,LOC001
PUR00052,PRD0052,71,216,SUP052,PTRX00052,Online grocery dataset purchase row; last_order_date=12/28/2024,LOC002
PUR00053,PRD0053,84,244,SUP053,PTRX00053,Online grocery dataset purchase row; last_order_date=10/17/2024,LOC003
PUR00054,PRD0054,84,180,SUP054,PTRX00054,Online grocery dataset purchase row; last_order_date=6/14/2024,LOC004
PUR00055,PRD0055,18,864,SUP055,PTRX00055,Online grocery dataset purchase row; last_order_date=02-12-25,LOC005
PUR00056,PRD0056,62,180,SUP056,PTRX00056,Online grocery dataset purchase row; last_order_date=7/21/2024,LOC001
PUR00057,PRD0057,6,324,SUP057,PTRX00057,Online grocery dataset purchase row; last_order_date=06-10-24,LOC002
PUR00058,PRD0058,61,208,SUP058,PTRX00058,Online grocery dataset purchase row; last_order_date=11/13/2024,LOC003
PUR00059,PRD0059,49,432,SUP059,PTRX00059,Online grocery dataset purchase row; last_order_date=04-05-24,LOC004
PUR00060,PRD0060,28,432,SUP060,PTRX00060,Online grocery dataset purchase row; last_order_date=8/20/2024,LOC005
PUR00061,PRD0061,98,108,SUP061,PTRX00061,Online grocery dataset purchase row; last_order_date=12-12-24,LOC001
PUR00062,PRD0062,76,360,SUP062,PTRX00062,Online grocery dataset purchase row; last_order_date=9/23/2024,LOC002
PUR00063,PRD0063,69,320,SUP063,PTRX00063,Online grocery dataset purchase row; last_order_date=11-12-24,LOC003
PUR00064,PRD0064,26,432,SUP064,PTRX00064,Online grocery dataset purchase row; last_order_date=1/23/2025,LOC004
PUR00065,PRD0065,88,432,SUP065,PTRX00065,Online grocery dataset purchase row; last_order_date=6/30/2024,LOC005
PUR00066,PRD0066,29,1080,SUP066,PTRX00066,Online grocery dataset purchase row; last_order_date=10/25/2024,LOC001
PUR00067,PRD0067,10,1800,SUP067,PTRX00067,Online grocery dataset purchase row; last_order_date=2/29/2024,LOC002
PUR00068,PRD0068,100,129,SUP068,PTRX00068,Online grocery dataset purchase row; last_order_date=1/16/2025,LOC003
PUR00069,PRD0069,75,504,SUP069,PTRX00069,Online grocery dataset purchase row; last_order_date=11/20/2024,LOC004
PUR00070,PRD0070,46,288,SUP070,PTRX00070,Online grocery dataset purchase row; last_order_date=1/15/2025,LOC005
PUR00071,PRD0071,5,216,SUP071,PTRX00071,Online grocery dataset purchase row; last_order_date=05-01-24,LOC001
PUR00072,PRD0072,96,864,SUP072,PTRX00072,Online grocery dataset purchase row; last_order_date=11/26/2024,LOC002
PUR00073,PRD0073,73,288,SUP073,PTRX00073,Online grocery dataset purchase row; last_order_date=3/16/2024,LOC003
PUR00074,PRD0074,72,320,SUP074,PTRX00074,Online grocery dataset purchase row; last_order_date=5/16/2024,LOC004
PUR00075,PRD0075,74,144,SUP075,PTRX00075,Online grocery dataset purchase row; last_order_date=02-03-25,LOC005
PUR00076,PRD0076,15,432,SUP076,PTRX00076,Online grocery dataset purchase row; last_order_date=03-08-24,LOC001
PUR00077,PRD0077,28,324,SUP077,PTRX00077,Online grocery dataset purchase row; last_order_date=9/18/2024,LOC002
PUR00078,PRD0078,74,324,SUP078,PTRX00078,Online grocery dataset purchase row; last_order_date=10/24/2024,LOC003
PUR00079,PRD0079,27,86,SUP079,PTRX00079,Online grocery dataset purchase row; last_order_date=7/29/2024,LOC004
PUR00080,PRD0080,15,180,SUP080,PTRX00080,Online grocery dataset purchase row; last_order_date=04-12-24,LOC005
PUR00081,PRD0081,61,432,SUP081,PTRX00081,Online grocery dataset purchase row; last_order_date=7/15/2024,LOC001
PUR00082,PRD0082,4,216,SUP082,PTRX00082,Online grocery dataset purchase row; last_order_date=1/27/2025,LOC002
PUR00083,PRD0083,80,180,SUP083,PTRX00083,Online grocery dataset purchase row; last_order_date=10/22/2024,LOC003
PUR00084,PRD0084,76,172,SUP084,PTRX00084,Online grocery dataset purchase row; last_order_date=9/13/2024,LOC004
PUR00085,PRD0085,48,432,SUP085,PTRX00085,Online grocery dataset purchase row; last_order_date=9/21/2024,LOC005
PUR00086,PRD0086,63,144,SUP086,PTRX00086,Online grocery dataset purchase row; last_order_date=9/20/2024,LOC001
PUR00087,PRD0087,65,108,SUP087,PTRX00087,Online grocery dataset purchase row; last_order_date=11-10-24,LOC002
PUR00088,PRD0088,50,129,SUP088,PTRX00088,Online grocery dataset purchase row; last_order_date=7/15/2024,LOC003
PUR00089,PRD0089,17,576,SUP089,PTRX00089,Online grocery dataset purchase row; last_order_date=11/13/2024,LOC004
PUR00090,PRD0090,13,288,SUP090,PTRX00090,Online grocery dataset purchase row; last_order_date=10-11-24,LOC005
PUR00091,PRD0091,96,720,SUP091,PTRX00091,Online grocery dataset purchase row; last_order_date=6/22/2024,LOC001
PUR00092,PRD0092,17,360,SUP092,PTRX00092,Online grocery dataset purchase row; last_order_date=2/17/2025,LOC002
PUR00093,PRD0093,2,648,SUP093,PTRX00093,Online grocery dataset purchase row; last_order_date=10-12-24,LOC003
PUR00094,PRD0094,80,129,SUP094,PTRX00094,Online grocery dataset purchase row; last_order_date=7/31/2024,LOC004
PUR00095,PRD0095,24,216,SUP095,PTRX00095,Online grocery dataset purchase row; last_order_date=10/13/2024,LOC005
PUR00096,PRD0096,89,504,SUP096,PTRX00096,Online grocery dataset purchase row; last_order_date=7/28/2024,LOC001
PUR00097,PRD0097,77,342,SUP097,PTRX00097,Online grocery dataset purchase row; last_order_date=8/24/2024,LOC002
PUR00098,PRD0098,53,144,SUP098,PTRX00098,Online grocery dataset purchase row; last_order_date=11/27/2024,LOC003
PUR00099,PRD0099,85,180,SUP099,PTRX00099,Online grocery dataset purchase row; last_order_date=9/14/2024,LOC004
PUR00100,PRD0100,23,230,SUP100,PTRX00100,Online grocery dataset purchase row; last_order_date=4/29/2024,LOC005
PUR00101,PRD0101,8,432,SUP101,PTRX00101,Online grocery dataset purchase row; last_order_date=1/18/2025,LOC001
PUR00102,PRD0102,18,108,SUP102,PTRX00102,Online grocery dataset purchase row; last_order_date=12/29/2024,LOC002
PUR00103,PRD0103,1,360,SUP103,PTRX00103,Online grocery dataset purchase row; last_order_date=2/26/2024,LOC003
PUR00104,PRD0104,40,288,SUP104,PTRX00104,Online grocery dataset purchase row; last_order_date=3/30/2024,LOC004
PUR00105,PRD0105,7,684,SUP105,PTRX00105,Online grocery dataset purchase row; last_order_date=5/15/2024,LOC005
PUR00106,PRD0106,94,180,SUP106,PTRX00106,Online grocery dataset purchase row; last_order_date=4/20/2024,LOC001
PUR00107,PRD0107,73,504,SUP107,PTRX00107,Online grocery dataset purchase row; last_order_date=06-05-24,LOC002
PUR00108,PRD0108,1,144,SUP108,PTRX00108,Online grocery dataset purchase row; last_order_date=10/14/2024,LOC003
PUR00109,PRD0109,53,288,SUP109,PTRX00109,Online grocery dataset purchase row; last_order_date=6/16/2024,LOC004
PUR00110,PRD0110,92,432,SUP110,PTRX00110,Online grocery dataset purchase row; last_order_date=9/26/2024,LOC005
PUR00111,PRD0111,6,1440,SUP111,PTRX00111,Online grocery dataset purchase row; last_order_date=06-06-24,LOC001
PUR00112,PRD0112,92,360,SUP112,PTRX00112,Online grocery dataset purchase row; last_order_date=6/14/2024,LOC002
PUR00113,PRD0113,87,576,SUP113,PTRX00113,Online grocery dataset purchase row; last_order_date=7/15/2024,LOC003
PUR00114,PRD0114,59,7086,SUP114,PTRX00114,Online grocery dataset purchase row; last_order_date=8/27/2024,LOC004
PUR00115,PRD0115,74,439,SUP115,PTRX00115,Online grocery dataset purchase row; last_order_date=1/17/2025,LOC005
PUR00116,PRD0116,2,432,SUP116,PTRX00116,Online grocery dataset purchase row; last_order_date=08-12-24,LOC001
PUR00117,PRD0117,69,252,SUP117,PTRX00117,Online grocery dataset purchase row; last_order_date=02-03-25,LOC002
PUR00118,PRD0118,73,288,SUP118,PTRX00118,Online grocery dataset purchase row; last_order_date=3/30/2024,LOC003
PUR00119,PRD0119,16,324,SUP119,PTRX00119,Online grocery dataset purchase row; last_order_date=09-06-24,LOC004
PUR00120,PRD0120,21,277,SUP120,PTRX00120,Online grocery dataset purchase row; last_order_date=1/27/2025,LOC005
PUR00121,PRD0121,14,309,SUP121,PTRX00121,Online grocery dataset purchase row; last_order_date=6/29/2024,LOC001
PUR00122,PRD0122,18,1512,SUP122,PTRX00122,Online grocery dataset purchase row; last_order_date=2/27/2024,LOC002
PUR00123,PRD0123,9,324,SUP123,PTRX00123,Online grocery dataset purchase row; last_order_date=2/26/2024,LOC003
PUR00124,PRD0124,86,288,SUP124,PTRX00124,Online grocery dataset purchase row; last_order_date=10-07-24,LOC004
PUR00125,PRD0125,85,324,SUP125,PTRX00125,Online grocery dataset purchase row; last_order_date=2/20/2025,LOC005
PUR00126,PRD0126,97,302,SUP126,PTRX00126,Online grocery dataset purchase row; last_order_date=01-06-25,LOC001
PUR00127,PRD0127,56,129,SUP127,PTRX00127,Online grocery dataset purchase row; last_order_date=06-01-24,LOC002
PUR00128,PRD0128,32,230,SUP128,PTRX00128,Online grocery dataset purchase row; last_order_date=06-08-24,LOC003
PUR00129,PRD0129,58,165,SUP129,PTRX00129,Online grocery dataset purchase row; last_order_date=10/21/2024,LOC004
PUR00130,PRD0130,39,720,SUP130,PTRX00130,Online grocery dataset purchase row; last_order_date=6/19/2024,LOC005
PUR00131,PRD0131,45,108,SUP131,PTRX00131,Online grocery dataset purchase row; last_order_date=12-11-24,LOC001
PUR00132,PRD0132,64,504,SUP132,PTRX00132,Online grocery dataset purchase row; last_order_date=03-11-24,LOC002
PUR00133,PRD0133,97,432,SUP133,PTRX00133,Online grocery dataset purchase row; last_order_date=1/17/2025,LOC003
PUR00134,PRD0134,98,216,SUP134,PTRX00134,Online grocery dataset purchase row; last_order_date=10/18/2024,LOC004
PUR00135,PRD0135,96,1296,SUP135,PTRX00135,Online grocery dataset purchase row; last_order_date=03-09-24,LOC005
PUR00136,PRD0136,76,180,SUP136,PTRX00136,Online grocery dataset purchase row; last_order_date=6/29/2024,LOC001
PUR00137,PRD0137,88,216,SUP137,PTRX00137,Online grocery dataset purchase row; last_order_date=2/13/2025,LOC002
PUR00138,PRD0138,48,432,SUP138,PTRX00138,Online grocery dataset purchase row; last_order_date=2/14/2025,LOC003
PUR00139,PRD0139,96,1296,SUP139,PTRX00139,Online grocery dataset purchase row; last_order_date=4/17/2024,LOC004
PUR00140,PRD0140,4,288,SUP140,PTRX00140,Online grocery dataset purchase row; last_order_date=9/29/2024,LOC005
PUR00141,PRD0141,52,144,SUP141,PTRX00141,Online grocery dataset purchase row; last_order_date=5/21/2024,LOC001
PUR00142,PRD0142,19,108,SUP142,PTRX00142,Online grocery dataset purchase row; last_order_date=07-10-24,LOC002
PUR00143,PRD0143,55,324,SUP143,PTRX00143,Online grocery dataset purchase row; last_order_date=7/27/2024,LOC003
PUR00144,PRD0144,88,324,SUP144,PTRX00144,Online grocery dataset purchase row; last_order_date=6/30/2024,LOC004
PUR00145,PRD0145,35,252,SUP145,PTRX00145,Online grocery dataset purchase row; last_order_date=5/22/2024,LOC005
PUR00146,PRD0146,19,576,SUP146,PTRX00146,Online grocery dataset purchase row; last_order_date=7/13/2024,LOC001
PUR00147,PRD0147,26,576,SUP147,PTRX00147,Online grocery dataset purchase row; last_order_date=02-12-25,LOC002
PUR00148,PRD0148,49,432,SUP148,PTRX00148,Online grocery dataset purchase row; last_order_date=03-02-24,LOC003
PUR00149,PRD0149,98,288,SUP149,PTRX00149,Online grocery dataset purchase row; last_order_date=6/29/2024,LOC004
PUR00150,PRD0150,54,216,SUP150,PTRX00150,Online grocery dataset purchase row; last_order_date=02-04-25,LOC005
PUR00151,PRD0151,37,180,SUP151,PTRX00151,Online grocery dataset purchase row; last_order_date=04-11-24,LOC001
PUR00152,PRD0152,29,583,SUP152,PTRX00152,Online grocery dataset purchase row; last_order_date=11/20/2024,LOC002
PUR00153,PRD0153,79,1296,SUP153,PTRX00153,Online grocery dataset purchase row; last_order_date=8/18/2024,LOC003
PUR00154,PRD0154,72,129,SUP154,PTRX00154,Online grocery dataset purchase row; last_order_date=10-07-24,LOC004
PUR00155,PRD0155,9,216,SUP155,PTRX00155,Online grocery dataset purchase row; last_order_date=5/16/2024,LOC005
PUR00156,PRD0156,20,504,SUP156,PTRX00156,Online grocery dataset purchase row; last_order_date=8/24/2024,LOC001
PUR00157,PRD0157,23,144,SUP157,PTRX00157,Online grocery dataset purchase row; last_order_date=5/25/2024,LOC002
PUR00158,PRD0158,93,288,SUP158,PTRX00158,Online grocery dataset purchase row; last_order_date=7/13/2024,LOC003
PUR00159,PRD0159,97,648,SUP159,PTRX00159,Online grocery dataset purchase row; last_order_date=5/31/2024,LOC004
PUR00160,PRD0160,27,360,SUP160,PTRX00160,Online grocery dataset purchase row; last_order_date=7/13/2024,LOC005
PUR00161,PRD0161,63,180,SUP161,PTRX00161,Online grocery dataset purchase row; last_order_date=04-11-24,LOC001
PUR00162,PRD0162,81,2232,SUP162,PTRX00162,Online grocery dataset purchase row; last_order_date=10-05-24,LOC002
PUR00163,PRD0163,56,468,SUP163,PTRX00163,Online grocery dataset purchase row; last_order_date=10/19/2024,LOC003
PUR00164,PRD0164,76,442,SUP164,PTRX00164,Online grocery dataset purchase row; last_order_date=12-06-24,LOC004
PUR00165,PRD0165,4,216,SUP165,PTRX00165,Online grocery dataset purchase row; last_order_date=7/26/2024,LOC005
PUR00166,PRD0166,85,360,SUP166,PTRX00166,Online grocery dataset purchase row; last_order_date=3/20/2024,LOC001
PUR00167,PRD0167,7,360,SUP167,PTRX00167,Online grocery dataset purchase row; last_order_date=12/31/2024,LOC002
PUR00168,PRD0168,58,129,SUP168,PTRX00168,Online grocery dataset purchase row; last_order_date=8/13/2024,LOC003
PUR00169,PRD0169,73,576,SUP169,PTRX00169,Online grocery dataset purchase row; last_order_date=8/23/2024,LOC004
PUR00170,PRD0170,62,345,SUP170,PTRX00170,Online grocery dataset purchase row; last_order_date=07-08-24,LOC005
PUR00171,PRD0171,76,180,SUP171,PTRX00171,Online grocery dataset purchase row; last_order_date=8/17/2024,LOC001
PUR00172,PRD0172,21,198,SUP172,PTRX00172,Online grocery dataset purchase row; last_order_date=5/20/2024,LOC002
PUR00173,PRD0173,97,720,SUP173,PTRX00173,Online grocery dataset purchase row; last_order_date=8/29/2024,LOC003
PUR00174,PRD0174,68,216,SUP174,PTRX00174,Online grocery dataset purchase row; last_order_date=01-10-25,LOC004
PUR00175,PRD0175,33,900,SUP175,PTRX00175,Online grocery dataset purchase row; last_order_date=12-09-24,LOC005
PUR00176,PRD0176,26,180,SUP176,PTRX00176,Online grocery dataset purchase row; last_order_date=6/15/2024,LOC001
PUR00177,PRD0177,22,360,SUP177,PTRX00177,Online grocery dataset purchase row; last_order_date=6/29/2024,LOC002
PUR00178,PRD0178,85,576,SUP178,PTRX00178,Online grocery dataset purchase row; last_order_date=07-03-24,LOC003
PUR00179,PRD0179,81,720,SUP179,PTRX00179,Online grocery dataset purchase row; last_order_date=03-10-24,LOC004
PUR00180,PRD0180,40,648,SUP180,PTRX00180,Online grocery dataset purchase row; last_order_date=4/28/2024,LOC005
PUR00181,PRD0181,23,720,SUP181,PTRX00181,Online grocery dataset purchase row; last_order_date=11/26/2024,LOC001
PUR00182,PRD0182,12,1512,SUP182,PTRX00182,Online grocery dataset purchase row; last_order_date=09-02-24,LOC002
PUR00183,PRD0183,99,864,SUP183,PTRX00183,Online grocery dataset purchase row; last_order_date=5/29/2024,LOC003
PUR00184,PRD0184,80,576,SUP184,PTRX00184,Online grocery dataset purchase row; last_order_date=03-12-24,LOC004
PUR00185,PRD0185,91,216,SUP185,PTRX00185,Online grocery dataset purchase row; last_order_date=7/26/2024,LOC005
PUR00186,PRD0186,77,324,SUP186,PTRX00186,Online grocery dataset purchase row; last_order_date=7/24/2024,LOC001
PUR00187,PRD0187,2,144,SUP187,PTRX00187,Online grocery dataset purchase row; last_order_date=4/13/2024,LOC002
PUR00188,PRD0188,21,324,SUP188,PTRX00188,Online grocery dataset purchase row; last_order_date=9/24/2024,LOC003
PUR00189,PRD0189,57,1800,SUP189,PTRX00189,Online grocery dataset purchase row; last_order_date=08-07-24,LOC004
PUR00190,PRD0190,82,180,SUP190,PTRX00190,Online grocery dataset purchase row; last_order_date=7/28/2024,LOC005
PUR00191,PRD0191,17,504,SUP191,PTRX00191,Online grocery dataset purchase row; last_order_date=10-01-24,LOC001
PUR00192,PRD0192,65,288,SUP192,PTRX00192,Online grocery dataset purchase row; last_order_date=1/16/2025,LOC002
PUR00193,PRD0193,13,504,SUP193,PTRX00193,Online grocery dataset purchase row; last_order_date=9/15/2024,LOC003
PUR00194,PRD0194,100,360,SUP194,PTRX00194,Online grocery dataset purchase row; last_order_date=9/16/2024,LOC004
PUR00195,PRD0195,1,432,SUP195,PTRX00195,Online grocery dataset purchase row; last_order_date=12/13/2024,LOC005
PUR00196,PRD0196,17,180,SUP196,PTRX00196,Online grocery dataset purchase row; last_order_date=10/28/2024,LOC001
PUR00197,PRD0197,6,342,SUP197,PTRX00197,Online grocery dataset purchase row; last_order_date=6/16/2024,LOC002
PUR00198,PRD0198,65,648,SUP198,PTRX00198,Online grocery dataset purchase row; last_order_date=6/22/2024,LOC003
PUR00199,PRD0199,97,432,SUP199,PTRX00199,Online grocery dataset purchase row; last_order_date=7/15/2024,LOC004
PUR00200,PRD0200,80,201,SUP200,PTRX00200,Online grocery dataset purchase row; last_order_date=1/23/2025,LOC005
PUR00201,PRD0201,32,144,SUP201,PTRX00201,Online grocery dataset purchase row; last_order_date=02-07-25,LOC001
PUR00202,PRD0202,56,432,SUP202,PTRX00202,Online grocery dataset purchase row; last_order_date=6/25/2024,LOC002
PUR00203,PRD0203,42,720,SUP203,PTRX00203,Online grocery dataset purchase row; last_order_date=2/21/2025,LOC003
PUR00204,PRD0204,46,252,SUP204,PTRX00204,Online grocery dataset purchase row; last_order_date=10-05-24,LOC004
PUR00205,PRD0205,65,126,SUP205,PTRX00205,Online grocery dataset purchase row; last_order_date=01-12-25,LOC005
PUR00206,PRD0206,55,432,SUP206,PTRX00206,Online grocery dataset purchase row; last_order_date=05-05-24,LOC001
PUR00207,PRD0207,95,432,SUP207,PTRX00207,Online grocery dataset purchase row; last_order_date=3/28/2024,LOC002
PUR00208,PRD0208,74,180,SUP208,PTRX00208,Online grocery dataset purchase row; last_order_date=2/19/2025,LOC003
PUR00209,PRD0209,11,3684,SUP209,PTRX00209,Online grocery dataset purchase row; last_order_date=4/16/2024,LOC004
PUR00210,PRD0210,7,288,SUP210,PTRX00210,Online grocery dataset purchase row; last_order_date=03-06-24,LOC005
PUR00211,PRD0211,91,1836,SUP211,PTRX00211,Online grocery dataset purchase row; last_order_date=7/17/2024,LOC001
PUR00212,PRD0212,37,306,SUP212,PTRX00212,Online grocery dataset purchase row; last_order_date=03-06-24,LOC002
PUR00213,PRD0213,7,424,SUP213,PTRX00213,Online grocery dataset purchase row; last_order_date=12-07-24,LOC003
PUR00214,PRD0214,30,468,SUP214,PTRX00214,Online grocery dataset purchase row; last_order_date=11/30/2024,LOC004
PUR00215,PRD0215,52,288,SUP215,PTRX00215,Online grocery dataset purchase row; last_order_date=12-08-24,LOC005
PUR00216,PRD0216,64,180,SUP216,PTRX00216,Online grocery dataset purchase row; last_order_date=09-03-24,LOC001
PUR00217,PRD0217,54,216,SUP217,PTRX00217,Online grocery dataset purchase row; last_order_date=09-07-24,LOC002
PUR00218,PRD0218,66,165,SUP218,PTRX00218,Online grocery dataset purchase row; last_order_date=10/13/2024,LOC003
PUR00219,PRD0219,91,144,SUP219,PTRX00219,Online grocery dataset purchase row; last_order_date=02-07-25,LOC004
PUR00220,PRD0220,92,165,SUP220,PTRX00220,Online grocery dataset purchase row; last_order_date=12/24/2024,LOC005
PUR00221,PRD0221,53,720,SUP221,PTRX00221,Online grocery dataset purchase row; last_order_date=07-05-24,LOC001
PUR00222,PRD0222,13,518,SUP222,PTRX00222,Online grocery dataset purchase row; last_order_date=03-10-24,LOC002
PUR00223,PRD0223,41,1296,SUP223,PTRX00223,Online grocery dataset purchase row; last_order_date=07-06-24,LOC003
PUR00224,PRD0224,43,1800,SUP224,PTRX00224,Online grocery dataset purchase row; last_order_date=2/27/2024,LOC004
PUR00225,PRD0225,76,1080,SUP225,PTRX00225,Online grocery dataset purchase row; last_order_date=1/19/2025,LOC005
PUR00226,PRD0226,68,108,SUP226,PTRX00226,Online grocery dataset purchase row; last_order_date=10-04-24,LOC001
PUR00227,PRD0227,7,504,SUP227,PTRX00227,Online grocery dataset purchase row; last_order_date=11/19/2024,LOC002
PUR00228,PRD0228,50,432,SUP228,PTRX00228,Online grocery dataset purchase row; last_order_date=5/17/2024,LOC003
PUR00229,PRD0229,96,288,SUP229,PTRX00229,Online grocery dataset purchase row; last_order_date=1/22/2025,LOC004
PUR00230,PRD0230,99,1440,SUP230,PTRX00230,Online grocery dataset purchase row; last_order_date=4/24/2024,LOC005
PUR00231,PRD0231,56,180,SUP231,PTRX00231,Online grocery dataset purchase row; last_order_date=4/27/2024,LOC001
PUR00232,PRD0232,89,1440,SUP232,PTRX00232,Online grocery dataset purchase row; last_order_date=3/21/2024,LOC002
PUR00233,PRD0233,98,288,SUP233,PTRX00233,Online grocery dataset purchase row; last_order_date=02-06-25,LOC003
PUR00234,PRD0234,28,288,SUP234,PTRX00234,Online grocery dataset purchase row; last_order_date=11/19/2024,LOC004
PUR00235,PRD0235,23,108,SUP235,PTRX00235,Online grocery dataset purchase row; last_order_date=2/28/2024,LOC005
PUR00236,PRD0236,1,2160,SUP236,PTRX00236,Online grocery dataset purchase row; last_order_date=8/26/2024,LOC001
